Datacenter,Rack,Server,Interface,MAC Address,Type,Description
DC-East,EAST-R01,EAST-SRV-008,ens2f0,3C:FD:FE:C4:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-008,mgmt0,A0:36:9F:AC:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-009,bmc,A0:36:9F:C5:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-009,ens1f0,3C:FD:FE:C5:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-009,ens2f0,3C:FD:FE:C5:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-009,mgmt0,A0:36:9F:AD:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-010,bmc,A0:36:9F:C6:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-010,ens1f0,3C:FD:FE:C6:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-010,ens2f0,3C:FD:FE:C6:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-010,mgmt0,A0:36:9F:AE:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-011,bmc,A0:36:9F:C7:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-011,ens1f0,3C:FD:FE:C7:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-011,ens2f0,3C:FD:FE:C7:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-011,mgmt0,A0:36:9F:AF:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-012,bmc,A0:36:9F:C8:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-012,ens1f0,3C:FD:FE:C8:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-012,ens2f0,3C:FD:FE:C8:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-012,mgmt0,A0:36:9F:B0:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-013,bmc,A0:36:9F:C9:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-013,ens1f0,3C:FD:FE:C9:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-013,ens2f0,3C:FD:FE:C9:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-013,mgmt0,A0:36:9F:B1:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-014,bmc,A0:36:9F:CA:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-014,ens1f0,3C:FD:FE:CA:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-014,ens2f0,3C:FD:FE:CA:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-014,mgmt0,A0:36:9F:B2:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-015,bmc,A0:36:9F:CB:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-015,ens1f0,3C:FD:FE:CB:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-015,ens2f0,3C:FD:FE:CB:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-015,mgmt0,A0:36:9F:B3:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-016,bmc,A0:36:9F:CC:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-016,ens1f0,3C:FD:FE:CC:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-016,ens2f0,3C:FD:FE:CC:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-016,mgmt0,A0:36:9F:B4:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R01,EAST-SRV-017,bmc,A0:36:9F:CD:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R01,EAST-SRV-017,ens1f0,3C:FD:FE:CD:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R01,EAST-SRV-017,ens2f0,3C:FD:FE:CD:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R01,EAST-SRV-017,mgmt0,A0:36:9F:B5:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-018,bmc,A0:36:9F:D3:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-018,ens1f0,3C:FD:FE:D3:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-018,ens2f0,3C:FD:FE:D3:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-018,mgmt0,A0:36:9F:BB:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-019,bmc,A0:36:9F:D4:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-019,ens1f0,3C:FD:FE:D4:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-019,ens2f0,3C:FD:FE:D4:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-019,mgmt0,A0:36:9F:BC:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-020,bmc,A0:36:9F:D5:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-020,ens1f0,3C:FD:FE:D5:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-020,ens2f0,3C:FD:FE:D5:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-020,mgmt0,A0:36:9F:BD:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-021,bmc,A0:36:9F:D6:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-021,ens1f0,3C:FD:FE:D6:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-021,ens2f0,3C:FD:FE:D6:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-021,mgmt0,A0:36:9F:BE:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-022,bmc,A0:36:9F:D7:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-022,ens1f0,3C:FD:FE:D7:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-022,ens2f0,3C:FD:FE:D7:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-022,mgmt0,A0:36:9F:BF:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-023,bmc,A0:36:9F:D8:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-023,ens1f0,3C:FD:FE:D8:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-023,ens2f0,3C:FD:FE:D8:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-023,mgmt0,A0:36:9F:C0:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-024,bmc,A0:36:9F:D9:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-024,ens1f0,3C:FD:FE:D9:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-024,ens2f0,3C:FD:FE:D9:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-024,mgmt0,A0:36:9F:C1:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-025,bmc,A0:36:9F:DA:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-025,ens1f0,3C:FD:FE:DA:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-025,ens2f0,3C:FD:FE:DA:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-025,mgmt0,A0:36:9F:C2:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-026,bmc,A0:36:9F:DB:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-026,ens1f0,3C:FD:FE:DB:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-026,ens2f0,3C:FD:FE:DB:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-026,mgmt0,A0:36:9F:C3:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-027,bmc,A0:36:9F:DC:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-027,ens1f0,3C:FD:FE:DC:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-027,ens2f0,3C:FD:FE:DC:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-027,mgmt0,A0:36:9F:C4:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-028,bmc,A0:36:9F:DD:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-028,ens1f0,3C:FD:FE:DD:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-028,ens2f0,3C:FD:FE:DD:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-028,mgmt0,A0:36:9F:C5:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-029,bmc,A0:36:9F:DE:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-029,ens1f0,3C:FD:FE:DE:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-029,ens2f0,3C:FD:FE:DE:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-029,mgmt0,A0:36:9F:C6:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-030,bmc,A0:36:9F:DF:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-030,ens1f0,3C:FD:FE:DF:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-030,ens2f0,3C:FD:FE:DF:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-030,mgmt0,A0:36:9F:C7:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-031,bmc,A0:36:9F:E0:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-031,ens1f0,3C:FD:FE:E0:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-031,ens2f0,3C:FD:FE:E0:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-031,mgmt0,A0:36:9F:C8:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-032,bmc,A0:36:9F:E1:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-032,ens1f0,3C:FD:FE:E1:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-032,ens2f0,3C:FD:FE:E1:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-032,mgmt0,A0:36:9F:C9:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-033,bmc,A0:36:9F:E2:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-033,ens1f0,3C:FD:FE:E2:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-033,ens2f0,3C:FD:FE:E2:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-033,mgmt0,A0:36:9F:CA:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R02,EAST-SRV-034,bmc,A0:36:9F:E3:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R02,EAST-SRV-034,ens1f0,3C:FD:FE:E3:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R02,EAST-SRV-034,ens2f0,3C:FD:FE:E3:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R02,EAST-SRV-034,mgmt0,A0:36:9F:CB:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-035,bmc,A0:36:9F:E9:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-035,ens1f0,3C:FD:FE:E9:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-035,ens2f0,3C:FD:FE:E9:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-035,mgmt0,A0:36:9F:D1:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-036,bmc,A0:36:9F:EA:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-036,ens1f0,3C:FD:FE:EA:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-036,ens2f0,3C:FD:FE:EA:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-036,mgmt0,A0:36:9F:D2:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-037,bmc,A0:36:9F:EB:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-037,ens1f0,3C:FD:FE:EB:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-037,ens2f0,3C:FD:FE:EB:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-037,mgmt0,A0:36:9F:D3:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-038,bmc,A0:36:9F:EC:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-038,ens1f0,3C:FD:FE:EC:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-038,ens2f0,3C:FD:FE:EC:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-038,mgmt0,A0:36:9F:D4:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-039,bmc,A0:36:9F:ED:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-039,ens1f0,3C:FD:FE:ED:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-039,ens2f0,3C:FD:FE:ED:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-039,mgmt0,A0:36:9F:D5:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-040,bmc,A0:36:9F:EE:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-040,ens1f0,3C:FD:FE:EE:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-040,ens2f0,3C:FD:FE:EE:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-040,mgmt0,A0:36:9F:D6:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-041,bmc,A0:36:9F:EF:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-041,ens1f0,3C:FD:FE:EF:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-041,ens2f0,3C:FD:FE:EF:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-041,mgmt0,A0:36:9F:D7:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-042,bmc,A0:36:9F:F0:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-042,ens1f0,3C:FD:FE:F0:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-042,ens2f0,3C:FD:FE:F0:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-042,mgmt0,A0:36:9F:D8:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-043,bmc,A0:36:9F:F1:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-043,ens1f0,3C:FD:FE:F1:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-043,ens2f0,3C:FD:FE:F1:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-043,mgmt0,A0:36:9F:D9:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-044,bmc,A0:36:9F:F2:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-044,ens1f0,3C:FD:FE:F2:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-044,ens2f0,3C:FD:FE:F2:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-044,mgmt0,A0:36:9F:DA:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-045,bmc,A0:36:9F:F3:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-045,ens1f0,3C:FD:FE:F3:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-045,ens2f0,3C:FD:FE:F3:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-045,mgmt0,A0:36:9F:DB:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-046,bmc,A0:36:9F:F4:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-046,ens1f0,3C:FD:FE:F4:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-046,ens2f0,3C:FD:FE:F4:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-046,mgmt0,A0:36:9F:DC:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-047,bmc,A0:36:9F:F5:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-047,ens1f0,3C:FD:FE:F5:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-047,ens2f0,3C:FD:FE:F5:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-047,mgmt0,A0:36:9F:DD:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-048,bmc,A0:36:9F:F6:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-048,ens1f0,3C:FD:FE:F6:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-048,ens2f0,3C:FD:FE:F6:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-048,mgmt0,A0:36:9F:DE:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-049,bmc,A0:36:9F:F7:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-049,ens1f0,3C:FD:FE:F7:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-049,ens2f0,3C:FD:FE:F7:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-049,mgmt0,A0:36:9F:DF:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-050,bmc,A0:36:9F:F8:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-050,ens1f0,3C:FD:FE:F8:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-050,ens2f0,3C:FD:FE:F8:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-050,mgmt0,A0:36:9F:E0:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R03,EAST-SRV-051,bmc,A0:36:9F:F9:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R03,EAST-SRV-051,ens1f0,3C:FD:FE:F9:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R03,EAST-SRV-051,ens2f0,3C:FD:FE:F9:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R03,EAST-SRV-051,mgmt0,A0:36:9F:E1:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R04,EAST-SRV-052,bmc,A0:36:9F:FF:01:00,1000base-t,BMC Management Interface
DC-East,EAST-R04,EAST-SRV-052,ens1f0,3C:FD:FE:FF:01:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R04,EAST-SRV-052,ens2f0,3C:FD:FE:FF:01:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R04,EAST-SRV-052,mgmt0,A0:36:9F:E7:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R04,EAST-SRV-053,bmc,A0:36:9F:00:02:00,1000base-t,BMC Management Interface
DC-East,EAST-R04,EAST-SRV-053,ens1f0,3C:FD:FE:00:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R04,EAST-SRV-053,ens2f0,3C:FD:FE:00:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R04,EAST-SRV-053,mgmt0,A0:36:9F:E8:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R04,EAST-SRV-054,bmc,A0:36:9F:01:02:00,1000base-t,BMC Management Interface
DC-East,EAST-R04,EAST-SRV-054,ens1f0,3C:FD:FE:01:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R04,EAST-SRV-054,ens2f0,3C:FD:FE:01:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R04,EAST-SRV-054,mgmt0,A0:36:9F:E9:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R04,EAST-SRV-055,bmc,A0:36:9F:02:02:00,1000base-t,BMC Management Interface
DC-East,EAST-R04,EAST-SRV-055,ens1f0,3C:FD:FE:02:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R04,EAST-SRV-055,ens2f0,3C:FD:FE:02:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R04,EAST-SRV-055,mgmt0,A0:36:9F:EA:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R04,EAST-SRV-056,bmc,A0:36:9F:03:02:00,1000base-t,BMC Management Interface
DC-East,EAST-R04,EAST-SRV-056,ens1f0,3C:FD:FE:03:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R04,EAST-SRV-056,ens2f0,3C:FD:FE:03:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R04,EAST-SRV-056,mgmt0,A0:36:9F:EB:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R04,EAST-SRV-057,bmc,A0:36:9F:04:02:00,1000base-t,BMC Management Interface
DC-East,EAST-R04,EAST-SRV-057,ens1f0,3C:FD:FE:04:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R04,EAST-SRV-057,ens2f0,3C:FD:FE:04:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R04,EAST-SRV-057,mgmt0,A0:36:9F:EC:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R04,EAST-SRV-058,bmc,A0:36:9F:05:02:00,1000base-t,BMC Management Interface
DC-East,EAST-R04,EAST-SRV-058,ens1f0,3C:FD:FE:05:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R04,EAST-SRV-058,ens2f0,3C:FD:FE:05:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R04,EAST-SRV-058,mgmt0,A0:36:9F:ED:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R04,EAST-SRV-059,bmc,A0:36:9F:06:02:00,1000base-t,BMC Management Interface
DC-East,EAST-R04,EAST-SRV-059,ens1f0,3C:FD:FE:06:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R04,EAST-SRV-059,ens2f0,3C:FD:FE:06:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R04,EAST-SRV-059,mgmt0,A0:36:9F:EE:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R04,EAST-SRV-060,bmc,A0:36:9F:07:02:00,1000base-t,BMC Management Interface
DC-East,EAST-R04,EAST-SRV-060,ens1f0,3C:FD:FE:07:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R04,EAST-SRV-060,ens2f0,3C:FD:FE:07:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R04,EAST-SRV-060,mgmt0,A0:36:9F:EF:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R04,EAST-SRV-061,bmc,A0:36:9F:08:02:00,1000base-t,BMC Management Interface
DC-East,EAST-R04,EAST-SRV-061,ens1f0,3C:FD:FE:08:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R04,EAST-SRV-061,ens2f0,3C:FD:FE:08:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R04,EAST-SRV-061,mgmt0,A0:36:9F:F0:05:00,1000base-t,Management Interface (PCI Card)
DC-East,EAST-R04,EAST-SRV-062,bmc,A0:36:9F:09:02:00,1000base-t,BMC Management Interface
DC-East,EAST-R04,EAST-SRV-062,ens1f0,3C:FD:FE:09:02:01,25gbase-x-sfp28,Production Network SFP Interface 1
DC-East,EAST-R04,EAST-SRV-062,ens2f0,3C:FD:FE:09:02:02,25gbase-x-sfp28,Production Network SFP Interface 2
DC-East,EAST-R04,EAST-SRV-062,mgmt0,A0:36:9F:F1:05:00,1000base-t,Management Interface (PCI Card)
